url, instructions
https://www.recipetineats.com/mushroom-gravy-smothered-rissoles/, Mix rissole ingredients; form 12 patties; slightly indent one side. Cook in 2 batches until lightly browned but raw inside. Wipe pan clean; melt butter; cook onion; then mushrooms; add garlic towards end. Make roux then gravy. Cook rissoles in gravy as it thickens; 4 – 5 minutes; serve! Grate the onion into a large bowl; add panko; toss to soak in the onion juices. Add remaining rissole ingredients and mix well with your hands. Dented patties – Form 12 patties (1/4 cup each) and make a slight indentation on one side (this prevents doming while cooking). Lightly brown – Heat 1 tablespoon of the oil in a large non-stick pan (30cm/12") over medium high heat. Cook half the rissoles for 1 1/2 minutes on each side until lightly browned but still raw inside. Remove onto a plate. Add the remaining oil and repeat with remaining rissoles. Clean pan – Discard excess oil and give the pan a rough clean with paper towels; just to remove most of the black bits. Cook mushrooms – Melt the butter in the same pan; cook the onion for 1 minute; then add the mushrooms and cook for 3 – 4 minutes until they release water; soften; then become lightly browned. Add the garlic for the last 30 seconds. Cook off flour – Turn the heat down to medium; scatter flour across the surface and stir for 1 minute – it will be like a dry paste. Half beef stock – While stirring; pour in half the stock then keep mixing until the flour paste dissolves and thickens the liquid; and is lump free (about 30 seconds). Simmer rissoles and thicken gravy – Add remaining stock; Worcestershire sauce; salt and pepper. Stir; turn heat up slightly to medium high. When it starts simmering; gently place the rissoles in (including any juices pooled on the plate). Cook rissoles 4 – 5 minutes until the liquid thickens into a thin gravy (aim for thinner than you want; thickens as you serve). Serve rissoles over mash with plenty of sauce! Add a sprinkle of parsley if you're feeling fancy.
https://www.recipetineats.com/peanut-butter-stuffed-brownies/, Save 2 tbsp peanut butter for swirling; warm to loosen then freeze rest in lined pan. Melt butter and chocolate; mix in sugar; then eggs + vanilla; then flour + cocoa + salt. Pour half in pan; top with peanut butter slab; cover with remaining batter; swirl through warmed reserved peanut butter. Bake 32 min at 180°C/350°F (160°C fan). Cool 1 hr on counter; 3 hrs+ in fridge; cut. Line pan – Grease a 20cm/8" square pan with butter then line with baking paper (parchment).  Frozen peanut butter slab – Set aside 2 tablespoons of the peanut butter for the swirls. Warm the remaining peanut butter in the microwave to loosen (~30 sec on high); then pour into the pan. Spread evenly; sprinkle with half the sea salt flakes. Freeze for 2 – 3 hours until it's so firm you can pick it up. Lift out of pan using the paper; then put it back in the freezer on the paper while you make the batter (it softens quickly).  Line pan again with baking paper; with overhang so you can lift the brownie out.  Preheat oven to 180°C/350°F (160°C fan forced). Melt – Place butter and chocolate in a heatproof bowl. Microwave in 30 second bursts; stirring in between (takes me 1m 30 sec) until melted and smooth. Stir to combine. Batter – Add sugar; mix; then add eggs and vanilla and mix well until smooth and molten. Add flour; cocoa and salt. Stir until smooth.  Stuff – Pour half the batter into the pan. Top with frozen peanut butter slab; spread with remaining batter. Swirl – Randomly dollop/drizzle the 2 tbsp peanut butter across the surface. Use a butter knife or teaspoon to make random swirls; make grooves if needed to reveal brownie batter – Note 3 for tips! Bake for 32 minutes. The middle will still jiggle (it sets when cool) but the edges should be firmish. Set –  Cool in the pan on the counter for an hour; then refrigerate for at least 3 hours to let it properly set; else the peanut butter will ooze out when cutting. Cut into 16 squares. Let it come to room temperature for 15 minutes+ then devour! Store in an airtight container in a cool; dry place.
https://www.recipetineats.com/duchess-potato-chicken-mushroom-pie/, Brown mushrooms; remove; sear chicken (aggressively!) in same pan; cut into large pieces. Sauté bacon; onion and garlic; deglaze with Guinness; make roux; add stock; simmer with mushrooms to thicken (~10 min). Add chicken towards end. Pour into a baking dish; pipe on mashed potato; finish with butter and parmesan; bake 30 min.  Garlic butter mushrooms – Melt 1/4 of the butter in a large 30cm/12" non stick pan over high heat. Add mushrooms; toss for 3 – 4 minutes until you get some browning on the surface. Add another 1/4 of the butter; melt; toss to coat. Add 1/4 tsp each salt and pepper and half the garlic; toss 30 seconds until garlic is golden – mushrooms will still be hard inside; they finish cooking later. Remove into bowl (make sure you scrape out all garlic bits). Sear chicken – Sprinkle the chicken with 1/2 tsp salt and 1/4 tsp pepper.  In the same pan; melt another 1/4 of the butter until hot and foamy. Sear chicken 2 minutes on each side until nicely golden but inside is still raw (if they don't fit in a single layer; do in batches). Remove onto plate; once cool enough to handle cut into 2.5cm (1") pieces. Bacon and onion – In the same pan; add bacon and stir for 15 seconds; then add the onion (there should be enough fat from the chicken). Cook for 2 minutes until the onion edges are golden and starting to soften. Add remaining garlic and stir 20 seconds. Deglaze with Guinness – Add Guinness and let it simmer rapidly; scraping the base of the pan to loosen any golden bits into the liquid (“fond” = free flavour!); until the Guinness is reduced down by 75%. Sauce – Lower heat to medium and add remaining butter. Once melted; sprinkle flour all across the surface and stir for 1 minute – it will look pasty. While stirring; pour in half the stock. Keep stirring  until the flour paste dissolves into the stock; for lump-free sauce (yay!). Then add remaining stock; water; tomato paste; 1/4 tsp salt and 1/2 tsp pepper; stir well. Simmer –  Add the mushrooms plus all mushroom juices accumulated in the bowl into the pan. Simmer for 10 minutes or until the liquid reduces down into a fairly thick gravy and the mushrooms become soft. (Meanwhile; start the mash) Thicken sauce – Add the chicken (plus all juices) and simmer for another 2 to 3 minutes until the gravy is quite thick and you can draw a path on the base of the pan. (Sauce thickness now = sauce thickness once baked). Taste – add more salt if needed (I don’t). Assemble – Pour into a 1.5 – 2 L (6 – 8 cup) baking pan and smooth the surface. (Note 5 for other pan sizes) Preheat oven to 200°C / 390°F (180°C fan-forced). Duchess potato topping – Pipe mounds of mashed potato swirls on the surface. My swirls have a 4.5cm base (1.6"); about 4cm tall (1.4"); then I fill gaps with small swirls/blobs. I use all the mash! Drizzle with melted butter; sprinkle with parmesan. (Note 6 for no piping bag) Bake for 30 minutes; rotating the pan at the 20 minute mark. Serve – Rest for 10 minutes; sprinkle with parsley if using. Attack! Make mash – Put the potatoes into a large pot of cold tap water. Bring to a boil over high heat then cook for 15 minutes until soft. Drain; pass through a potato ricer (smoother) or mash well with a potato masher in the now empty pot. Add butter; milk; 1/2 tsp salt and 1/8 tsp white pepper; stir through – it should be creamy but not loose (so it holds its form when piped). Piping bag – Transfer mash into a piping bag fitted with a star tip. (Note 6 for no piping bag) 
https://www.recipetineats.com/texan-bbq-candied-nuts/, Simmer candied coating 2 min; toss with nuts; bake 20 min at 180°C/350°F (160°C fan); tossing halfway. Break up while warm; fully cool. Attack! Preheat oven to 180°C/350°F (160°C fan-forced). Line a large tray with foil then baking paper (parchment). Nuts – Put the nuts in a bowl. Candied coating – Put the butter in a small saucepan over medium heat. Once mostly melted; add all the remaining candied coating ingredients. Stir; then once it comes to a simmer; reduce stove to medium low so it's simmering gently for 2 minutes; stirring regularly so it doesn’t catch. Toss – Pour over the nuts; toss well – take about 30 seconds; use a rubber spatula. It should be quite thick and coat the nuts well; no runny caramel pooling at bottom of bowl. Bake – Spread on tray; bake for 20 minutes; tossing well at the halfway mark; until the nuts are deep golden. There should be hardly any candy coating liquid left on the tray. Break up – Cool undisturbed on the tray for 10 minutes then break it up while still warm (separates better). Then leave to fully cool on the tray – the candy coating will fully harden (about 30 minutes). (Note 4 if nut surface is not shiny smooth) Uses – Serve in bowls for snacking (brilliant bar snack); fill jars for gifting; add to platters; chop and sprinkle on salads. Adding a sprinkle of sea salt is a nice finishing touch.
https://www.recipetineats.com/red-velvet-cheesecake/, Inverted pan base – Flip the base of a 20cm / 8" springform pan upside down – this makes it easier to remove the finished cheesecake without the lip in the way. Very lightly butter the pan base; then press on a square sheet of baking paper. Clip the pan sides onto the base; letting the excess paper stick out the sides (for easy removal later). Butter and line the pan sides with more baking paper. Blitz cookies – Roughly break up Oreos with hands and place in food processor. Blitz until they become fine crumbs. Add melted butter; then blitz again until combined.  Press into pan – Transfer crumbs into prepared pan; pressing evenly and firmly on to the base (I use the underside of a straight-sided; flat-bottomed cup measure to do this). Bloom gelatine – Place water in a small bowl then sprinkle the gelatine powder across the surface. Stir to partly dissolve. Set aside 5 minutes. It will turn into a solid rubber; this process is called blooming. Microwave the gelatine for 15 seconds to turn it into liquid; stir; then let it stand for 3 to 5 minutes to cool. But it MUST be liquid when added into the mixture (else you'll end up with gelatine lumps); so re-melt if needed. Whip the cream until stiff peaks form (2 – 3 minutes on high). Whip cream cheese – In a separate bowl (no need to clean beaters); beat the cream cheese and sugar for 2 minutes on high until fluffy and smooth. Add the cooled gelatine liquid and vanilla; beat another 30 seconds to mix it through well. Make it red! Add the lukewarm melted chocolate and red food colouring. Beat well for 1 minute until well combined. It should be a dark; seductive scarlet red colour rather than bright red; bearing in mind the cream will lighten it a bit. Fold in cream – Add one third of the whipped cream to the cream cheese mixture and gently fold until just combined. Then fold in the remaining cream. Transfer to cake pan – Pour the mixture into the prepared tin and place in the fridge for at least 6 hours to set. Remove cheesecake – Release the sides of the springform pan. Use the paper to slide the cheesecake off the base onto a serving platter. Peel the paper off the sides; then slide the paper out from under the cake. Whip cream – Place the cream; sugar and vanilla in a bowl. Beat on high for 2 minutes until softly whipped. (See here for make-ahead stabilised whipped cream option). Decorate – Pile the whipped cream on the cheesecake in the middle; leaving a 2.5cm/1" border. Sprinkle with shaved chocolate. Serve!
https://www.recipetineats.com/stabilised-whipped-cream/, Put the cream; cream stabiliser; vanilla; and sugar or icing sugar in a bowl. Beat for 2 minutes on high until soft peaks form (or a little longer if you want stiff peaks). Ready for use! Holds its structure for up to 3 days in the fridge. Place the cream; mascarpone; and icing sugar or sugar and vanilla in a bowl. Beat until it is the stiffness you are after (1 1/2 minutes if you want soft peaks (kind of dollops) or 2 minutes for stiff peaks (for piping). Holds its structure for up to 3 days in the fridge. Place the water in a small bowl and sprinkle the gelatine over. Mix to dissolve then leave for 5 minutes to bloom – it will turn into a rubbery lump. Microwave for 10 to 15 seconds to melt. Stir in 1 tbsp cream to cool it down. Put the cream; vanilla; and sugar or icing sugar in a bowl. Beat for 1 minute until quite foamy; then add the gelatine liquid. Keep beating until it is the stiffness you are after – about 30 seconds for soft peaks; or 1 minute for stiff peaks. Use immediately as you would regular cream (eg decorating cakes; piping; spreading). Keep for use later – immediately transfer into a piping bag or bowl for use the next day. Important: DO NOT STIR before use; it breaks the cream and makes it watery.
https://www.recipetineats.com/greek-zucchini-tots-mini-fritters/, Preheat oven to 200°C/390°F (180°C fan-forced) Sweat zucchini – Grate the zucchini using a standard box grater. Place into a large colander; sprinkle with the salt; toss with your fingers and leave to sweat for 30 minutes. Squeeze out liquid – Working a handful at a time; squeeze out the excess water (as much as you can) and place the zucchini in a bowl. Tots batter – Add the Batter ingredients except the feta and mix well to combine. Add the feta and gently stir through. Form tots – Dollop heaped tablespoons 2 trays lined with baking paper / parchment paper (I get 29 in total). Then use your fingers to shape them into cylinder "tater-tot / potato gem" shapes. Bake – Spray generously with oil. Bake for 30 minutes; swapping the trays at around 20 minutes (for extra golden; spray again with oil); or until golden brown and a crunchy crust forms on the surface. The tray on the bottom might need a few extra minutes. Serve with Minted Yogurt; lemon wedges and sprinkled with fresh oregano leaves if using. Mix together ingredients and set aside for at least 10 minutes before serving.
https://www.recipetineats.com/cheese-scones/, Pulse dry ingredients once; butter 4 times; cheese once. Add milk while pulsing 8–10 times. Shape into 3cm / 1.2" thick disc on baking paper; brush with milk; top with cheese; cut into 6 wedges. Space 5cm/2" apart on tray. Bake 20 min at 200°C/390°F (180°C fan); rest 5 min. Preheat oven to 200°C/390°F (180°C fan-forced). Blitz dry – Put flour; baking powder and salt in a food processor with a standard "S" blade. Pulse once. Add butter; pulse 4 to 5 times until the largest butter pieces you see are pea size. (You can also do this by hand – see Note 3) Add cheese; pulse once just to mix through a bit. Pour milk through the feeding tube while pulsing 8 to 10 times until the flour is just incorporated; then stop straight away. The dough will be shaggy rather than smooth; and it should be a bit sticky but can be handled. Bring dough together – Scatter a work surface with 1 tsp flour. Scrape the dough out of the food processor then bring together into a ball with your hands. Try to avoid using extra flour; but dust with more if needed (I don’t). 6 wedges – Put it on a sheet of baking paper; pat and shape into 3cm / 1.2" thick round disc. Brush with milk (top and sides); sprinkle with cheese; lightly press in. Cut into 6 wedges. (Note 4 for rounds) Bake – Transfer to baking tray. Pull each wedge out a bit so they are 5cm/2" apart. Bake 20 minutes until the surface is golden. Cool 5 minutes on the tray; then enjoy warm with a smear of butter!
https://www.recipetineats.com/the-fastest-noodle-stir-fry-i-know/, Toss chicken with 1 tbsp sauce. In a large 30cm/12" non-stick pan over high heat; cook chicken first; adding garlic and white part of green onion towards the end. Cabbage 1 1/2 minutes; then noodles; sauce (add in 2 batches) and chilli crisp. Wilt green onion; serve! Sauce – Mix the ingredients in a small bowl. Toss the chicken with 1 tablespoon of the sauce (no marinating time needed). Cook chicken – Heat the oil in a large 30cm/12" non-stick pan over high heat until very hot. Add the chicken and cook for 2 minutes. Add the garlic and white part of the green onion; cook for another 30 seconds until chicken is just cooked. Cabbage – Add the cabbage; toss for 1 1/2 minutes or until it starts to go floppy. Sauce and noodles – Add the noodles and half the sauce; toss for a minute until the sauce is absorbed and no longer pooling in the pan (~ 45 seconds). Then add the remaining sauce and toss again until it's all evenly coated and no liquid remains (~ 1 minute); adding chilli crisp towards the end; if using. (Note 4) Serve – Toss through the green part of the green onion until it's wilted (barely 20 seconds); then divide between bowls. Noodle slurping time!
https://www.recipetineats.com/baked-sausage-breakfast-hash/, Bake seasoned potatoes 15 minutes at 200°C/400°F (180°C fan). Toss capsicum and onion with oil; salt & pepper; add to tray; toss. Dot with sausage meat (squeeze out); sprinkle with bacon; bake 35 minutes; tossing at the 20 minute mark. Reduce oven to 180°C/350°F (160°C fan). Make wells; crack in eggs; bake 7 minutes or until set to your taste. Preheat the oven to 200°C / 400°F (180°C fan-forced). Toss the potatoes with the oil and seasoning in a bowl. Spread on a lined tray; just big enough to hold everything in snugly rather than spread in a single layer (Note 3). Bake for 15 minutes. Capsicum and onion – Meanwhile; in the still-dirty potato bowl; toss the capsicum and onion with the oil; salt and pepper. Add to tray; then toss with the potatoes.  Sausage & bacon – Squeeze dollops of the sausage meat out of the casings and dot them randomly on top (you could cut the sausages using a knife; but that just isn't as fun). Scatter with bacon. Bake 35 minutes – Bake 20 minutes. Toss; then bake for a further 15 minutes; or until potatoes are soft. Lower oven to 180°C/350°F (160°C fan). Eggs – Push the potato aside to make holes for the eggs. Crack eggs in. Return to oven for 7 minutes or until eggs are done to your liking (I like runny yolks which means just-set whites!). Serve – Scatter with parsley; then serve!
https://www.recipetineats.com/biscoff-stuffed-cookies/, Freeze 8 x 1.25cm/1/2" blobs Biscoff until firm (~1 hr). Brown butter; cool; hand mix in sugar; then egg + vanilla. Mix in whisked Dry & spices; adding choc towards end. Portion into 8; stuff with frozen Biscoff. Fridge 12 -24 hrs (bare min 2 hrs). Bake from fridge cold 4 on each lined tray; 180°C/350°F (170°C fan) 19 min; top with more choc while hot if desired. Cool 20 min on tray; attack! Frozen Biscoff stuffing – Dollop Biscoff on paper lined plate or small tray; and spread into 1.25cm/1/2" thick discs (just roughly is fine). Freeze 1 hour or until firm enough to pick up. Simmer to brown – Put the butter in a silver saucepan or small pan over medium high heat. Once melted; let it simmer (as in; bubbling) for 4 to 5 minutes; stirring every now and then; until it gets real foamy; you see little golden specks (wade through foam to see); it smells nutty & extra buttery. Cool – Immediately pour into a heatproof bowl; including all those golden specks; scraping out every bit of butter. Cool to room temperature (~45 minutes); cool enough so it won't melt the choc chips (Note 6) Whisk Dry ingredients and Spices in a separate bowl. Mix Wet – To the browned butter; add both sugars and mix with a wooden spoon. Add the egg; yolk and vanilla. Mix until smooth – it will look like caramel. Finish dough – Add the Dry ingredients and mix until the flour is mostly incorporated. Add the choc chips and stir until the flour is fully incorporated. Stuff – Measure out 8 x 125g portions of dough (4.4 oz/ heaped 1/3 cup); press dough together into a rough ball. Flatten; top with frozen Biscoff; enclose and shape into a ball with a flat base (ie tall dome); sealing cracks to avoid Biscoff leakage. Alternative: Break each into 2 balls; flatten both; sandwich Biscoff in between then fold up sides to enclose. You'll figure out the best method! Fridge 12 hours (min 2 hrs) – Place in an airtight container and refrigerate for 12 hours; up to 48 hours. BARE MINIMUM is 2 hours or until dough is firm! (Note 8) Preheat oven to 180°C/350°F oven (170°C fan-forced). (Note 9) Place fridge-cold cookies 7.5 cm/3" apart on a tray lined with baking paper/parchment paper. (I do 4 cookies on each tray) Bake for 18 – 19 minutes or until the edges are golden and the surface is cooked (ie not melty raw dough) but still pale.  Decorate and cool – Working quickly; press extra choc chips on the surface (Note 10); then cool on the tray for 20 minutes – finishes baking; edges crisp more and they get more golden all over.Tip: While hot; you can also reshape with a rubber spatula or similar into a tidy round shape. Grab now – peak eating moment! Or; transfer to a rack to cool fully before storing in an airtight container. 
https://www.recipetineats.com/maple-sweet-potato-salad-with-whipped-tahini/, Preheat the oven to 220°C/450°F (200°C fan). Arrange the oven racks so they are 20 cm/8" apart (for air circulation). Spicy maple sauce – Mix until combined. Set aside. Sweet potato – Cut each sweet potato lengthways into 6 wedges (or 8; if they are thicker potatoes). Put on a paper lined tray; then toss with the maple syrup; olive oil; salt and pepper. Lay sweet potato wedges on their side.  Chickpeas – Drain the chickpeas then spread on a tray (still wet).  Baking – Put both trays in the oven (sweet potato on the top shelf). Roast the potatoes for 30 minutes; turning them at the halfway mark. Take the chickpeas out after 10 minutes to flavour them. Crispy seasoned chickpeas – Remove the oven dried chickpeas from the oven after 10 minutes (Note 4). Push them to one side of the tray; drizzle/sprinkle and toss with the oil; spices; salt and pepper. Toss well using a rubber spatula; then return to the oven for a further 15 – 20 minutes until they're crispy (they will clatter! Note 4). Sweet potato charring (optional) – After 30 minutes (or when the potatoes are soft); switch the oven grill/broiler to high. Tuck in or fold down excess paper around the tray edges (so it doesn't touch heat element and catch fire). Stand the wedges sharp edge facing up; then pop it under the broiler for 3 to 5 minutes until a bit charred on the edges. ⚠️ SAFETY NOTE: Do not walk away; make sure the paper does not catch fire. Whipped tahini yogurt sauce – While the potatoes are roasting whisk ingredients in a heat-proof bowl just to combine. When ready to use; microwave for just 30 seconds on high; then whisk again for 10 seconds – it will resemble softly whipped cream. (Note 5)  Optional tahini drizzle – Remove 1/4 cup of the tahini sauce and loosen with a little water to a drizzle-able consistency. Assemble – Spread the whipped tahini on a large plate. Pile the sweet potato on; mostly in a single layer. Drizzle with the tahini drizzle (if using); the spicy maple sauce; sprinkle with most of the pistachio and coriander. Sprinkle over chickpeas; then sprinkle with the remaining coriander and pistachios. EAT! (PS Great served warm or at room temperature)
https://www.recipetineats.com/cheese-herb-garlic-quick-bread/, Preheat oven to 180°C/350°F (both fan and standard ovens). Loaf tin – Grease a 21 x 11 x 7 cm loaf pan (8.3 x 4.5 x 2.75") lightly with butter or oil spray then line with baking paper (parchment paper). (Note 3) Herb and garlic swirl – Mix the ingredients in a small bowl; it should be a thick dollop-able mixture.  Dry ingredients – Whisk the Dry Ingredients in a bowl. Wet ingredients – Whisk the wet ingredients in a separate bowl. Combine – Make a well in the centre of the Dry Ingredients. Pour the Wet Ingredients in and mix until just combined. Swirls and cheese Layer 1 – Pour 1/3 of the batter into the bread tin. Dollop 1/3 of the herbs across the top then use a knife to "swirl" it into the batter up and down; and also turning the batter over (refer photo below). Use 1/3 of the cheese slices and push them randomly into the batter. Push some all the way in and leave some poking out of the batter. Layers 2 and 3 – Repeat twice more. Don't worry about herb mixture exposed and cheese slices sticking out the surface; looks amazing when baked! Bake for 30 minutes; or until the top is golden. Remove from oven and cover with foil; then bake for a further 20 minutes (total baking time 50 minutes). Check to make sure the centre is cooked by inserting a skewer – it should come out clean. Cool in the loaf tin for 5 minutes then turn the bread out onto a cooling rack. Allow to cool for at least another 10 minutes before cutting thick slices. Butter is  optional but always welcome!
https://www.recipetineats.com/ginger-chicken-and-rice/, ABBREVIATED – Toss chicken with 1 1/2 tbsp sauce. Sear mushrooms in 2 batches; remove. SeaL chicken; add garlic; ginger and white part green onions towards end. Stir in rice; add stock and ginger slices; cover with mushrooms; steam 20 min. Rest 10 min; toss with sauce and green onion. Sauce – Mix sauce ingredients in a small bowl. Toss chicken with 1 1/2 tbsp of the sauce; set the rest aside for drizzling. Lightly sear mushrooms – Heat 1 1/2 tbsp oil in a large heavy based pot on high heat. Cook half the mushrooms with a pinch of salt and pepper until some of the mushrooms have a light tinge of golden on the surface; but don't try to cook them all the way through (we want to do that in the rice). Remove into bowl. Repeat with remaining mushrooms. Seal chicken – Heat the remaining 1 tablespoon of oil until hot. Add the chicken and stir for 1 minute; just until the surface is sealed but inside still raw. Add white part of green onion; garlic and ginger; stir 30 seconds. Add rice; stir briefly just to coat in oil. Simmer liquid – Add stock and ginger slices. Bring to a rapid simmer. Scatter mushrooms across surface (add any pooled liquid too); then let it come to a rapid simmer again. Steam 20 minutes – Put the lid on; reduce stove to low (or medium low; for weak burners). Cook for 20 minutes (do not stir) until the liquid is fully absorbed. Rest 10 minutes – Remove pot from the stove with the lid still on and rest for 10 minutes. Drizzle and toss – Drizzle remaining sauce all over; add green part of green onions. Gently toss until the green onion is mostly wilted. Serve!
https://www.recipetineats.com/easy-french-apple-tart/, ABBREVIATED: Sprinkle paper with 3t sugar; put puff on; fold in 1cm / 0.4" edge. Top with apple; brush butter; sprinkle 2t sugar. Bake on preheated tray at 210°C/375°F (190°C fan) for 30 minutes. Hot tray – Put a baking tray in the oven then turn it on and pre-heat to 210°C/375°F (190°C fan-forced). Sugar underside of puff – Place a sheet of baking paper (parchment paper) on the counter. Sprinkle with 3 teaspoons of sugar; roughly in the shape of the puff pastry sheet. Fold edge – Place puff pastry on top of the sugar. Fold the edges inwards to create a 1cm / 0.4" edge.  Apples – Arrange the apples slices in 3 rows; overlapping them slightly. Butter and sugar – Brush the apple slices and edges with melted butter; then sprinkle with the sugar (apple and edge). Bake – Transfer the tart on the paper to the hot baking tray (keep it on the paper). Bake for 30 minutes; or until the edges are golden. Serve – Cut into 6; dust with icing sugar and serve warm with vanilla ice cream.
